YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2016,Colorado,Percent of adults who engage in no leisure-time physical activity,21.5,65 or older,"(38.843840757, -106.133610921)"
2016,Illinois,Percent of adults aged 18 years and older who have obesity,30.9,65 or older,"(40.485010283, -88.997710178)"
2016,South Carolina,Percent of adults who engage in no leisure-time physical activity,19.1,25 - 34,"(33.998821303, -81.045371207)"
2016,New Hampshire,Percent of adults who engage in no leisure-time physical activity,18.4,35 - 44,"(43.655950113, -71.50036092)"
2016,Michigan,Percent of adults aged 18 years and older who have an overweight classification,38.6,45 - 54,"(44.661319543001, -84.71439027)"
2016,New Mexico,Percent of adults who engage in no leisure-time physical activity,14.5,25 - 34,"(34.520880952, -106.240580985)"
2017,Guam,Percent of adults aged 18 years and older who have obesity,38.1,55 - 64,"(13.444304, 144.793731)"
2020,Utah,Percent of adults aged 18 years and older who have an overweight classification,22.9,18 - 24,"(39.360700171000474, -111.58713063499971)"
2015,Puerto Rico,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),15.7,35 - 44,"(18.220833, -66.590149)"
2017,Maryland,Percent of adults aged 18 years and older who have an overweight classification,37.1,65 or older,"(39.290580964, -76.609260111)"
2015,Puerto Rico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,8.5,35 - 44,"(18.220833, -66.590149)"
2016,Arizona,Percent of adults aged 18 years and older who have obesity,36.4,45 - 54,"(34.86597028, -111.763811277)"
2016,Mississippi,Percent of adults aged 18 years and older who have obesity,39.8,55 - 64,"(32.745510099, -89.538030825)"
2016,New Hampshire,Percent of adults who engage in no leisure-time physical activity,12.2,25 - 34,"(43.655950113, -71.50036092)"
2016,Indiana,Percent of adults aged 18 years and older who have an overweight classification,33.4,25 - 34,"(39.766910452, -86.149960194)"
2016,New York,Percent of adults who engage in no leisure-time physical activity,30.9,65 or older,"(42.827001032, -75.543970427)"
2016,Indiana,Percent of adults aged 18 years and older who have an overweight classification,36.3,35 - 44,"(39.766910452, -86.149960194)"
2016,Illinois,Percent of adults who engage in no leisure-time physical activity,19.8,25 - 34,"(40.485010283, -88.997710178)"
2016,Colorado,Percent of adults aged 18 years and older who have an overweight classification,38.9,55 - 64,"(38.843840757, -106.133610921)"
2017,Hawaii,Percent of adults who report consuming vegetables less than one time daily,17.1,45 - 54,"(21.304850435, -157.857749403)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have obesity,23.2,65 or older,"(18.220833, -66.590149)"
2016,Indiana,Percent of adults aged 18 years and older who have an overweight classification,33.5,45 - 54,"(39.766910452, -86.149960194)"
2016,Florida,Percent of adults aged 18 years and older who have an overweight classification,39.7,65 or older,"(28.932040377, -81.928960539)"
2015,Puerto Rico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2.2,65 or older,"(18.220833, -66.590149)"
2016,Ohio,Percent of adults aged 18 years and older who have obesity,29.7,25 - 34,"(40.060210141, -82.404260056)"
2016,Iowa,Percent of adults aged 18 years and older who have obesity,18.4,18 - 24,"(42.469400913, -93.816490556)"
2016,Kentucky,Percent of adults aged 18 years and older who have an overweight classification,37.0,45 - 54,"(37.645970271, -84.774971048)"
2016,Missouri,Percent of adults who engage in no leisure-time physical activity,22.1,25 - 34,"(38.635790776, -92.566300053)"
2016,Kentucky,Percent of adults aged 18 years and older who have an overweight classification,31.2,35 - 44,"(37.645970271, -84.774971048)"
2016,Virginia,Percent of adults aged 18 years and older who have obesity,25.7,25 - 34,"(37.542680674, -78.457890463)"
2017,Connecticut,Percent of adults aged 18 years and older who have obesity,26.4,65 or older,"(41.56266102, -72.649840952)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,39.9,45 - 54,"(13.444304, 144.793731)"
2017,Pennsylvania,Percent of adults who engage in no leisure-time physical activity,25.2,45 - 54,"(40.793730152, -77.860700294)"
2015,Guam,Percent of adults who engage in no leisure-time physical activity,51.1,65 or older,"(13.444304, 144.793731)"
2013,Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.8,35 - 44,"(18.220833, -66.590149)"
2014,Guam,Percent of adults aged 18 years and older who have obesity,34.6,25 - 34,"(13.444304, 144.793731)"
2016,Virgin Islands,Percent of adults who engage in no leisure-time physical activity,29.3,35 - 44,"(18.335765, -64.896335)"
2016,South Carolina,Percent of adults aged 18 years and older who have obesity,28.7,65 or older,"(33.998821303, -81.045371207)"
2016,Illinois,Percent of adults aged 18 years and older who have obesity,27.6,25 - 34,"(40.485010283, -88.997710178)"
2016,Pennsylvania,Percent of adults who engage in no leisure-time physical activity,13.5,18 - 24,"(40.793730152, -77.860700294)"
2017,New York,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),52.7,65 or older,"(42.827001032, -75.543970427)"
2020,Ohio,Percent of adults who engage in no leisure-time physical activity,27.0,55 - 64,"(40.06021014100048, -82.40426005599966)"
2020,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,39.0,65 or older,"(40.79373015200048, -77.86070029399963)"
2020,Wisconsin,Percent of adults who engage in no leisure-time physical activity,14.6,25 - 34,"(44.39319117400049, -89.81637074199966)"
2020,Maryland,Percent of adults who engage in no leisure-time physical activity,20.1,35 - 44,"(39.29058096400047, -76.60926011099963)"
2020,Guam,Percent of adults who engage in no leisure-time physical activity,33.9,65 or older,"(13.444304, 144.793731)"
2013,North Carolina,Percent of adults aged 18 years and older who have an overweight classification,40.2,65 or older,"(35.466220975, -79.159250463)"
2020,South Carolina,Percent of adults who engage in no leisure-time physical activity,16.9,25 - 34,"(33.998821303000454, -81.04537120699968)"
2020,Montana,Percent of adults aged 18 years and older who have an overweight classification,40.4,65 or older,"(47.06652897200047, -109.42442064499971)"
2020,North Carolina,Percent of adults aged 18 years and older who have obesity,40.8,45 - 54,"(35.466220975000454, -79.15925046299964)"
2020,Wyoming,Percent of adults aged 18 years and older who have obesity,39.9,45 - 54,"(43.23554134300048, -108.10983035299967)"
2020,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,39.8,65 or older,"(18.220833, -66.590149)"
2020,Kansas,Percent of adults aged 18 years and older who have an overweight classification,31.2,18 - 24,"(38.34774030000045, -98.20078122699965)"
2020,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.4,65 or older,"(41.70828019300046, -71.52247031399963)"
2018,Ohio,Percent of adults who engage in no leisure-time physical activity,28.1,55 - 64,"(40.06021014100048, -82.40426005599966)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,39.0,65 or older,"(40.79373015200048, -77.86070029399963)"
2018,Wisconsin,Percent of adults who engage in no leisure-time physical activity,21.7,25 - 34,"(44.39319117400049, -89.81637074199966)"
2018,Maryland,Percent of adults who engage in no leisure-time physical activity,18.7,35 - 44,"(39.29058096400047, -76.60926011099963)"
2018,Guam,Percent of adults who engage in no leisure-time physical activity,33.4,65 or older,"(13.444304, 144.793731)"
2018,South Carolina,Percent of adults who engage in no leisure-time physical activity,23.0,25 - 34,"(33.998821303000454, -81.04537120699968)"
2018,Montana,Percent of adults aged 18 years and older who have an overweight classification,41.1,65 or older,"(47.06652897200047, -109.42442064499971)"
2018,North Carolina,Percent of adults aged 18 years and older who have obesity,44.5,45 - 54,"(35.466220975000454, -79.15925046299964)"
2018,Wyoming,Percent of adults aged 18 years and older who have obesity,39.9,45 - 54,"(43.23554134300048, -108.10983035299967)"
2018,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,43.9,65 or older,"(18.220833, -66.590149)"
2018,Kansas,Percent of adults aged 18 years and older who have an overweight classification,28.1,18 - 24,"(38.34774030000045, -98.20078122699965)"
2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.6,65 or older,"(41.70828019300046, -71.52247031399963)"
2018,Arizona,Percent of adults aged 18 years and older who have obesity,30.4,35 - 44,"(34.865970280000454, -111.76381127699972)"
2018,New Jersey,Percent of adults aged 18 years and older who have an overweight classification,41.8,45 - 54,"(40.13057004800049, -74.27369128799967)"
2018,Nevada,Percent of adults who engage in no leisure-time physical activity,27.2,45 - 54,"(39.493240390000494, -117.07184056399967)"
2017,Arizona,Percent of adults aged 18 years and older who have an overweight classification,38.4,55 - 64,"(34.86597028, -111.763811277)"
2018,Florida,Percent of adults who engage in no leisure-time physical activity,27.3,45 - 54,"(28.932040377000476, -81.92896053899966)"
2018,Maryland,Percent of adults who engage in no leisure-time physical activity,20.4,25 - 34,"(39.29058096400047, -76.60926011099963)"
2018,New York,Percent of adults aged 18 years and older who have obesity,31.0,55 - 64,"(42.82700103200045, -75.54397042699964)"
2018,Connecticut,Percent of adults who engage in no leisure-time physical activity,15.8,18 - 24,"(41.56266102000046, -72.64984095199964)"
2018,New York,Percent of adults aged 18 years and older who have an overweight classification,23.3,18 - 24,"(42.82700103200045, -75.54397042699964)"
2018,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,33.7,45 - 54,"(21.304850435000446, -157.85774940299973)"
2018,Utah,Percent of adults aged 18 years and older who have an overweight classification,25.0,18 - 24,"(39.360700171000474, -111.58713063499971)"
2018,Indiana,Percent of adults aged 18 years and older who have an overweight classification,36.4,65 or older,"(39.766910452000445, -86.14996019399968)"
2018,Indiana,Percent of adults who engage in no leisure-time physical activity,26.5,45 - 54,"(39.766910452000445, -86.14996019399968)"
2018,Ohio,Percent of adults aged 18 years and older who have an overweight classification,24.4,18 - 24,"(40.06021014100048, -82.40426005599966)"
2018,Nebraska,Percent of adults aged 18 years and older who have an overweight classification,34.7,45 - 54,"(41.6410409880005, -99.36572062299967)"
2018,District of Columbia,Percent of adults aged 18 years and older who have an overweight classification,34.8,45 - 54,"(38.89037138500049, -77.03196112699965)"
2018,Illinois,Percent of adults aged 18 years and older who have an overweight classification,23.6,18 - 24,"(40.48501028300046, -88.99771017799969)"
2018,Alabama,Percent of adults who engage in no leisure-time physical activity,24.7,25 - 34,"(32.84057112200048, -86.63186076199969)"
2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.9,35 - 44,"(41.70828019300046, -71.52247031399963)"
2018,Mississippi,Percent of adults aged 18 years and older who have an overweight classification,33.9,45 - 54,"(32.745510099000455, -89.53803082499968)"
2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,27.5,35 - 44,"(42.27687047000046, -72.08269067499964)"
2018,Arkansas,Percent of adults who engage in no leisure-time physical activity,27.2,35 - 44,"(34.74865012400045, -92.27449074299966)"
2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.4,45 - 54,"(42.27687047000046, -72.08269067499964)"
2018,Kansas,Percent of adults who engage in no leisure-time physical activity,26.7,55 - 64,"(38.34774030000045, -98.20078122699965)"
2018,Guam,Percent of adults aged 18 years and older who have an overweight classification,25.8,18 - 24,"(13.444304, 144.793731)"
2018,Missouri,Percent of adults who engage in no leisure-time physical activity,15.4,18 - 24,"(38.635790776000476, -92.56630005299968)"
2018,Idaho,Percent of adults aged 18 years and older who have an overweight classification,31.8,25 - 34,"(43.682630005000476, -114.3637300419997)"
2018,North Dakota,Percent of adults who engage in no leisure-time physical activity,12.5,18 - 24,"(47.47531977900047, -100.11842104899966)"
2018,Maine,Percent of adults aged 18 years and older who have an overweight classification,40.7,65 or older,"(45.254228894000505, -68.98503133599962)"
2018,Alaska,Percent of adults who engage in no leisure-time physical activity,16.0,25 - 34,"(64.84507995700051, -147.72205903599973)"
2018,Michigan,Percent of adults who engage in no leisure-time physical activity,21.4,35 - 44,"(44.6613195430005, -84.71439026999968)"
2018,Delaware,Percent of adults who engage in no leisure-time physical activity,16.8,18 - 24,"(39.008830667000495, -75.57774116799965)"
2018,Mississippi,Percent of adults aged 18 years and older who have obesity,46.3,45 - 54,"(32.745510099000455, -89.53803082499968)"
2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,18.8,18 - 24,"(18.220833, -66.590149)"
2018,Montana,Percent of adults aged 18 years and older who have obesity,11.6,18 - 24,"(47.06652897200047, -109.42442064499971)"
2018,North Carolina,Percent of adults aged 18 years and older who have an overweight classification,40.6,65 or older,"(35.466220975000454, -79.15925046299964)"
2018,Kentucky,Percent of adults aged 18 years and older who have an overweight classification,31.3,55 - 64,"(37.645970271000465, -84.77497104799966)"
2018,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,38.0,55 - 64,"(43.23554134300048, -108.10983035299967)"
2018,District of Columbia,Percent of adults who engage in no leisure-time physical activity,28.0,65 or older,"(38.89037138500049, -77.03196112699965)"
2018,Mississippi,Percent of adults aged 18 years and older who have an overweight classification,32.9,25 - 34,"(32.745510099000455, -89.53803082499968)"
2018,New Hampshire,Percent of adults who engage in no leisure-time physical activity,20.4,45 - 54,"(43.65595011300047, -71.50036091999965)"
2018,Maine,Percent of adults aged 18 years and older who have an overweight classification,32.1,35 - 44,"(45.254228894000505, -68.98503133599962)"
2018,Rhode Island,Percent of adults who engage in no leisure-time physical activity,24.8,35 - 44,"(41.70828019300046, -71.52247031399963)"
2018,Vermont,Percent of adults aged 18 years and older who have obesity,19.3,18 - 24,"(43.62538123900049, -72.51764079099962)"
2018,Illinois,Percent of adults who engage in no leisure-time physical activity,22.6,35 - 44,"(40.48501028300046, -88.99771017799969)"
2018,Massachusetts,Percent of adults who engage in no leisure-time physical activity,19.8,25 - 34,"(42.27687047000046, -72.08269067499964)"
2018,Delaware,Percent of adults aged 18 years and older who have an overweight classification,38.0,65 or older,"(39.008830667000495, -75.57774116799965)"
2018,West Virginia,Percent of adults aged 18 years and older who have obesity,40.8,25 - 34,"(38.66551020200046, -80.71264013499967)"
2018,Vermont,Percent of adults who engage in no leisure-time physical activity,20.0,45 - 54,"(43.62538123900049, -72.51764079099962)"
2018,Wyoming,Percent of adults who engage in no leisure-time physical activity,9.6,18 - 24,"(43.23554134300048, -108.10983035299967)"
2018,Georgia,Percent of adults aged 18 years and older who have obesity,32.7,25 - 34,"(32.83968109300048, -83.62758034599966)"
2018,Michigan,Percent of adults aged 18 years and older who have an overweight classification,35.3,35 - 44,"(44.6613195430005, -84.71439026999968)"
2018,Delaware,Percent of adults aged 18 years and older who have an overweight classification,28.0,18 - 24,"(39.008830667000495, -75.57774116799965)"
2018,Idaho,Percent of adults aged 18 years and older who have obesity,31.8,55 - 64,"(43.682630005000476, -114.3637300419997)"
2018,Hawaii,Percent of adults who engage in no leisure-time physical activity,14.2,25 - 34,"(21.304850435000446, -157.85774940299973)"
2018,Hawaii,Percent of adults who engage in no leisure-time physical activity,16.9,18 - 24,"(21.304850435000446, -157.85774940299973)"
2018,Arizona,Percent of adults aged 18 years and older who have an overweight classification,36.1,35 - 44,"(34.865970280000454, -111.76381127699972)"
2018,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,29.6,25 - 34,"(18.220833, -66.590149)"
2018,Kansas,Percent of adults aged 18 years and older who have an overweight classification,34.8,55 - 64,"(38.34774030000045, -98.20078122699965)"
2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,25.2,65 or older,"(38.89037138500049, -77.03196112699965)"
2018,Kentucky,Percent of adults who engage in no leisure-time physical activity,42.3,55 - 64,"(37.645970271000465, -84.77497104799966)"
2018,Arizona,Percent of adults who engage in no leisure-time physical activity,17.2,25 - 34,"(34.865970280000454, -111.76381127699972)"
2018,Colorado,Percent of adults aged 18 years and older who have an overweight classification,33.5,25 - 34,"(38.843840757000464, -106.13361092099967)"
2018,Oregon,Percent of adults aged 18 years and older who have obesity,14.9,18 - 24,"(44.56744942400047, -120.15503132599969)"
2018,South Dakota,Percent of adults aged 18 years and older who have obesity,35.8,35 - 44,"(44.353130053000484, -100.3735306369997)"
2018,Utah,Percent of adults who engage in no leisure-time physical activity,11.8,18 - 24,"(39.360700171000474, -111.58713063499971)"
2018,Maryland,Percent of adults aged 18 years and older who have an overweight classification,36.7,35 - 44,"(39.29058096400047, -76.60926011099963)"
2018,Georgia,Percent of adults aged 18 years and older who have an overweight classification,34.8,45 - 54,"(32.83968109300048, -83.62758034599966)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,34.9,35 - 44,"(40.79373015200048, -77.86070029399963)"
2018,Massachusetts,Percent of adults aged 18 years and older who have an overweight classification,36.2,35 - 44,"(42.27687047000046, -72.08269067499964)"
2018,Ohio,Percent of adults aged 18 years and older who have obesity,38.8,35 - 44,"(40.06021014100048, -82.40426005599966)"
2018,Connecticut,Percent of adults aged 18 years and older who have an overweight classification,31.3,18 - 24,"(41.56266102000046, -72.64984095199964)"
2018,Tennessee,Percent of adults aged 18 years and older who have obesity,38.4,35 - 44,"(35.68094058000048, -85.77449091399967)"
2018,Oklahoma,Percent of adults who engage in no leisure-time physical activity,34.6,55 - 64,"(35.47203135600046, -97.52107021399968)"
2018,Illinois,Percent of adults aged 18 years and older who have an overweight classification,38.7,55 - 64,"(40.48501028300046, -88.99771017799969)"
2018,Virginia,Percent of adults aged 18 years and older who have an overweight classification,35.0,45 - 54,"(37.54268067400045, -78.45789046299967)"
2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,34.4,25 - 34,"(44.39319117400049, -89.81637074199966)"
2018,Tennessee,Percent of adults who engage in no leisure-time physical activity,18.1,25 - 34,"(35.68094058000048, -85.77449091399967)"
2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,24.7,25 - 34,"(43.65595011300047, -71.50036091999965)"
2018,Nevada,Percent of adults aged 18 years and older who have an overweight classification,41.0,65 or older,"(39.493240390000494, -117.07184056399967)"
2018,Connecticut,Percent of adults aged 18 years and older who have obesity,33.5,45 - 54,"(41.56266102000046, -72.64984095199964)"
2018,Oklahoma,Percent of adults aged 18 years and older who have an overweight classification,36.8,55 - 64,"(35.47203135600046, -97.52107021399968)"
2018,South Dakota,Percent of adults who engage in no leisure-time physical activity,15.3,35 - 44,"(44.353130053000484, -100.3735306369997)"
2016,Florida,Percent of adults who engage in no leisure-time physical activity,28.5,35 - 44,"(28.932040377, -81.928960539)"
2016,Guam,Percent of adults aged 18 years and older who have an overweight classification,34.5,65 or older,"(13.444304, 144.793731)"
2018,New Jersey,Percent of adults who engage in no leisure-time physical activity,23.9,25 - 34,"(40.13057004800049, -74.27369128799967)"
2018,Maine,Percent of adults aged 18 years and older who have obesity,27.2,65 or older,"(45.254228894000505, -68.98503133599962)"
2018,Kansas,Percent of adults aged 18 years and older who have obesity,39.8,35 - 44,"(38.34774030000045, -98.20078122699965)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,28.3,65 or older,"(40.79373015200048, -77.86070029399963)"
2018,North Carolina,Percent of adults aged 18 years and older who have an overweight classification,32.2,25 - 34,"(35.466220975000454, -79.15925046299964)"
2018,Texas,Percent of adults aged 18 years and older who have an overweight classification,38.4,45 - 54,"(31.827240407000488, -99.42677020599967)"
2018,Ohio,Percent of adults aged 18 years and older who have an overweight classification,36.1,55 - 64,"(40.06021014100048, -82.40426005599966)"
2018,Colorado,Percent of adults aged 18 years and older who have obesity,29.2,45 - 54,"(38.843840757000464, -106.13361092099967)"
2018,Wyoming,Percent of adults who engage in no leisure-time physical activity,27.5,55 - 64,"(43.23554134300048, -108.10983035299967)"
2018,Minnesota,Percent of adults who engage in no leisure-time physical activity,16.4,25 - 34,"(46.35564873600049, -94.79420050299967)"
2018,Washington,Percent of adults who engage in no leisure-time physical activity,18.9,45 - 54,"(47.52227862900048, -120.47001078999972)"
2018,West Virginia,Percent of adults who engage in no leisure-time physical activity,33.9,45 - 54,"(38.66551020200046, -80.71264013499967)"
2018,Illinois,Percent of adults aged 18 years and older who have obesity,36.3,55 - 64,"(40.48501028300046, -88.99771017799969)"
2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.9,55 - 64,"(43.65595011300047, -71.50036091999965)"
2018,Alaska,Percent of adults aged 18 years and older who have obesity,29.8,35 - 44,"(64.84507995700051, -147.72205903599973)"
2018,North Dakota,Percent of adults aged 18 years and older who have obesity,35.7,25 - 34,"(47.47531977900047, -100.11842104899966)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,16.1,18 - 24,"(40.79373015200048, -77.86070029399963)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,34.1,35 - 44,"(18.220833, -66.590149)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have obesity,24.3,25 - 34,"(18.220833, -66.590149)"
2018,Vermont,Percent of adults aged 18 years and older who have an overweight classification,35.9,65 or older,"(43.62538123900049, -72.51764079099962)"
2018,Louisiana,Percent of adults aged 18 years and older who have obesity,27.9,18 - 24,"(31.31266064400046, -92.44568007099969)"
2018,Washington,Percent of adults aged 18 years and older who have an overweight classification,30.2,25 - 34,"(47.52227862900048, -120.47001078999972)"
2018,Tennessee,Percent of adults aged 18 years and older who have obesity,39.2,55 - 64,"(35.68094058000048, -85.77449091399967)"
2018,Rhode Island,Percent of adults aged 18 years and older who have an overweight classification,39.8,35 - 44,"(41.70828019300046, -71.52247031399963)"
2018,Hawaii,Percent of adults who engage in no leisure-time physical activity,24.9,65 or older,"(21.304850435000446, -157.85774940299973)"
2018,Alaska,Percent of adults aged 18 years and older who have an overweight classification,37.2,35 - 44,"(64.84507995700051, -147.72205903599973)"
2018,Colorado,Percent of adults aged 18 years and older who have obesity,23.7,35 - 44,"(38.843840757000464, -106.13361092099967)"
2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,28.4,65 or older,"(44.39319117400049, -89.81637074199966)"
2018,California,Percent of adults aged 18 years and older who have obesity,27.2,35 - 44,"(37.63864012300047, -120.99999953799971)"
2018,California,Percent of adults aged 18 years and older who have an overweight classification,39.2,35 - 44,"(37.63864012300047, -120.99999953799971)"
2018,New York,Percent of adults aged 18 years and older who have obesity,25.2,25 - 34,"(42.82700103200045, -75.54397042699964)"
2018,Oregon,Percent of adults aged 18 years and older who have an overweight classification,38.0,65 or older,"(44.56744942400047, -120.15503132599969)"
2018,Nebraska,Percent of adults aged 18 years and older who have an overweight classification,25.3,18 - 24,"(41.6410409880005, -99.36572062299967)"
2018,Arkansas,Percent of adults aged 18 years and older who have obesity,45.7,45 - 54,"(34.74865012400045, -92.27449074299966)"
2018,Delaware,Percent of adults aged 18 years and older who have an overweight classification,37.7,55 - 64,"(39.008830667000495, -75.57774116799965)"
2018,Tennessee,Percent of adults aged 18 years and older who have an overweight classification,29.5,35 - 44,"(35.68094058000048, -85.77449091399967)"
2018,Vermont,Percent of adults aged 18 years and older who have an overweight classification,22.7,18 - 24,"(43.62538123900049, -72.51764079099962)"
2018,Connecticut,Percent of adults aged 18 years and older who have obesity,30.4,35 - 44,"(41.56266102000046, -72.64984095199964)"
2018,Alabama,Percent of adults aged 18 years and older who have obesity,31.8,65 or older,"(32.84057112200048, -86.63186076199969)"
2018,Georgia,Percent of adults aged 18 years and older who have an overweight classification,37.2,35 - 44,"(32.83968109300048, -83.62758034599966)"
2018,Kentucky,Percent of adults aged 18 years and older who have obesity,42.4,55 - 64,"(37.645970271000465, -84.77497104799966)"
2018,South Dakota,Percent of adults aged 18 years and older who have an overweight classification,37.3,35 - 44,"(44.353130053000484, -100.3735306369997)"
